artifact,path,required,size_bytes,sha256,source_or_role,status
simulation.input,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\simulation.input,YES,843,05e218c06a535573ecaf0fbe5c14b1a5c2e2d62a0c7ce81d78bf9384b067b484,canonical RASPA input,PASS
RUN_ASSET_MANIFEST.json,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\RUN_ASSET_MANIFEST.json,YES,4105,7e0eed74e4089ae6dfcc2a8610610da4e6f49c4c1b5e1e6b04bf5d89a6f0dd76,asset manifest,PASS
SMOKE_PREFLIGHT_REPORT.json,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\SMOKE_PREFLIGHT_REPORT.json,YES,6391,160441a93c44a1e51cbab78fb64312b584670798bdd38575d53e3202a942da6d,preflight report,PASS
force_field_mixing_rules.def,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\force_field_mixing_rules.def,YES,22779,3e904fd58dc65d3c0f77b11e4f598c6dd1551f9c025a974c7a981388b1b417f5,local forcefield mixing rules,PASS
pseudo_atoms.def,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\pseudo_atoms.def,YES,29998,97ddfd399c496fafa5991266a1fbc4a289e465b0dfb3538af422278c6dd0ab2c,local pseudo atoms,PASS
force_field.def,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\force_field.def,YES,82,d53a22417b2383f86f91ae4789cf7820711b013ebebb70efbe4055382cd5d0aa,local forcefield overrides,PASS
H2O.def,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\H2O.def,YES,866,675ed1556f815fea75dd25fdda8d33f8a2be873abbc6ca70d2a81f5dda4accbd,local RASPA water definition,PASS
RMS_0p300_Pore8nm.cif,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\RMS_0p300_Pore8nm.cif,YES,19140735,bde8490dd8ea46187a483d032f5d625fcc7cb528edd83e24e6c8cf7aa6f2111d,staged framework CIF,PASS
stdout.txt,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\stdout.txt,YES,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,900 s extended smoke stdout capture,PASS
stderr.txt,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\stderr.txt,YES,437,05399222f70ec737276aa4ccfa9b6b5476c6ad386dbf487e7c4655b9ea565e2d,900 s extended smoke stderr capture,PASS
Output/,F:\MD\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\kerogen_bulk0p1_to0p8_then_graphene_pull_v1\KEROGEN_MD_GCMC_CODEBASE\workflows\08_gcmc_ch4_h2o\generated\RMS_0p300\P20MPa\Output,NO,,,RASPA smoke output directory,ABSENT
